order_item_id,order_id,product_id,quantity,unit_price
OI00001,ORD00001,PROD0022,4,42.19
OI00002,ORD00001,PROD0026,5,81.2
OI00003,ORD00001,PROD0024,3,39.55
OI00004,ORD00002,PROD0024,3,78.2
OI00005,ORD00002,PROD0009,3,92.41
OI00006,ORD00003,PROD0001,3,79.18
OI00007,ORD00004,PROD0009,1,47.06
OI00008,ORD00004,PROD0007,3,99.92
OI00009,ORD00004,PROD0003,2,20.68
OI00010,ORD00005,PROD0009,2,77.14
OI00011,ORD00005,PROD0012,2,74.66
OI00012,ORD00006,PROD0030,3,45.48
OI00013,ORD00007,PROD0010,2,56.81
OI00014,ORD00007,PROD0029,4,18.98
OI00015,ORD00007,PROD0030,4,18.56
OI00016,ORD00008,PROD0029,2,85.7
OI00017,ORD00009,PROD0018,4,53.72
OI00018,ORD00010,PROD0021,5,36.7
OI00019,ORD00010,PROD0013,2,65.16
OI00020,ORD00010,PROD0020,3,77
OI00021,ORD00011,PROD0017,3,77.74
OI00022,ORD00012,PROD0025,2,63.77
OI00023,ORD00013,PROD0024,5,99.59
OI00024,ORD00014,PROD0029,3,27.26
OI00025,ORD00015,PROD0009,5,3.32
OI00026,ORD00015,PROD0006,1,39.25
OI00027,ORD00016,PROD0022,1,80.94
OI00028,ORD00016,PROD0023,3,11.66
OI00029,ORD00016,PROD0007,3,1.63
OI00030,ORD00017,PROD0020,5,69.2
OI00031,ORD00018,PROD0001,5,23.49
OI00032,ORD00019,PROD0001,5,60.94
OI00033,ORD00020,PROD0030,1,66.45
OI00034,ORD00020,PROD0002,3,88.15
OI00035,ORD00021,PROD0024,5,13.21
OI00036,ORD00022,PROD0012,1,28.77
OI00037,ORD00022,PROD0001,2,40.66
OI00038,ORD00022,PROD0006,3,100.42
OI00039,ORD00023,PROD0025,2,14.37
OI00040,ORD00023,PROD0005,1,49
OI00041,ORD00023,PROD0007,2,67.86
OI00042,ORD00024,PROD0021,1,95.77
OI00043,ORD00024,PROD0003,4,4.69
OI00044,ORD00024,PROD0024,4,84.15
OI00045,ORD00025,PROD0030,1,54.97
OI00046,ORD00026,PROD0030,1,18.78
OI00047,ORD00027,PROD0029,1,46.63
OI00048,ORD00028,PROD0023,3,74.29
OI00049,ORD00028,PROD0014,3,92.29
OI00050,ORD00028,PROD0013,4,47.56
