product_id,product_name,category,price,stock_quantity,supplier_id
PROD0001,Product 1,Books,139.86,186,SUPP0001
PROD0002,Product 2,Home,285.26,153,SUPP0009
PROD0003,Product 3,Sports,426.71,46,SUPP0004
PROD0004,Product 4,Clothing,59.98,104,SUPP0009
PROD0005,Product 5,Books,257.34,123,SUPP0007
PROD0006,Product 6,Clothing,131.88,124,SUPP0004
PROD0007,Product 7,Books,348.22,36,SUPP0008
PROD0008,Product 8,Books,131.53,102,SUPP0010
PROD0009,Product 9,Home,293.24,143,SUPP0001
PROD0010,Product 10,Sports,352,25,SUPP0010
PROD0011,Product 11,Home,461.91,199,SUPP0002
PROD0012,Product 12,Sports,10.73,103,SUPP0006
PROD0013,Product 13,Home,149.61,36,SUPP0001
PROD0014,Product 14,Sports,180.71,52,SUPP0010
PROD0015,Product 15,Sports,119.83,84,SUPP0008
PROD0016,Product 16,Sports,109.15,132,SUPP0002
PROD0017,Product 17,Home,251.62,38,SUPP0004
PROD0018,Product 18,Books,436.91,49,SUPP0005
PROD0019,Product 19,Clothing,56.5,59,SUPP0008
PROD0020,Product 20,Home,400.88,40,SUPP0007
PROD0021,Product 21,Clothing,100.29,183,SUPP0004
PROD0022,Product 22,Electronics,472.11,139,SUPP0010
PROD0023,Product 23,Books,439.75,44,SUPP0001
PROD0024,Product 24,Books,105.12,45,SUPP0008
PROD0025,Product 25,Books,484.05,183,SUPP0008
PROD0026,Product 26,Books,351.76,86,SUPP0003
PROD0027,Product 27,Sports,80.64,51,SUPP0005
PROD0028,Product 28,Sports,312.87,14,SUPP0004
PROD0029,Product 29,Clothing,343.72,46,SUPP0009
PROD0030,Product 30,Electronics,418.58,182,SUPP0003
